id,session_id,page_url,viewed_at,duration_seconds
1,104,/,2023-09-06 19:42:59,136
2,45,/faq,2024-04-21 01:36:11,57
3,144,/faq,2023-05-04 16:09:43,153
4,88,/faq,2023-05-31 07:11:30,134
5,138,/account,2024-03-25 16:08:48,229
6,97,/reviews,2024-05-30 06:05:29,127
7,194,/gift-cards,2023-01-27 03:17:47,238
8,151,/reviews,2024-04-01 11:11:22,62
9,67,/blog,2023-03-22 10:27:44,115
10,174,/about,2023-10-24 03:01:29,214
11,91,/shipping-info,2023-05-06 01:06:23,7
12,180,/checkout,2023-05-01 05:34:52,150
13,24,/about,2023-01-10 22:34:25,41
14,142,/products/beans,2023-10-10 16:00:18,246
15,81,/cart,2023-10-06 15:07:46,296
16,69,/cart,2023-07-12 19:42:51,258
17,189,/checkout,2024-04-11 05:36:46,126
18,68,/checkout,2024-01-27 13:45:50,106
19,64,/contact,2024-01-23 10:51:16,82
20,200,/products/espresso,2023-06-25 18:41:47,43
21,174,/,2023-10-24 03:19:25,280
22,11,/contact,2023-01-18 01:35:24,164
23,127,/account,2024-03-27 00:06:32,254
24,47,/account,2024-01-17 21:33:49,206
25,57,/products/grinders,2024-05-26 19:24:14,30
26,135,/reviews,2024-05-16 10:55:00,279
27,9,/contact,2024-01-16 18:09:52,204
28,176,/products/beans,2023-06-30 16:07:11,237
29,31,/faq,2023-10-05 18:22:57,238
30,81,/,2023-10-06 15:53:36,9
31,173,/blog,2024-06-25 21:14:39,300
32,26,/contact,2023-03-20 16:55:53,135
33,48,/account,2024-01-29 18:09:34,124
34,69,/about,2023-07-12 20:02:33,190
35,48,/promotions,2024-01-29 18:07:52,110
36,108,/contact,2023-02-26 02:01:04,189
37,103,/gift-cards,2023-12-13 02:06:02,95
38,147,/checkout,2023-06-10 14:41:50,54
39,185,/checkout,2024-05-27 01:59:59,287
40,111,/cart,2023-11-13 15:15:32,77
41,190,/reviews,2023-10-16 00:54:37,7
42,46,/reviews,2023-12-31 13:08:20,71
43,162,/shipping-info,2024-03-13 19:31:46,164
44,125,/account,2024-03-02 07:40:02,290
45,146,/blog,2023-02-18 19:50:38,53
46,177,/ ,2023-11-14 09:49:10,113
47,66,/products/espresso,2023-05-18 16:22:37,233
48,191,/account,2024-04-21 21:54:34,187
49,93,/shipping-info,2024-04-30 18:57:16,134
50,89,/promotions,2023-05-26 05:30:25,65
51,90,/cart,2023-02-01 14:15:00,298
52,148,/shipping-info,2023-02-06 01:44:57,92
53,200,/contact,2023-06-25 19:06:05,169
54,173,/reviews,2024-06-25 21:35:06,231
55,21,/account/orders,2023-07-24 07:25:43,240
56,162,/products/beans,2024-03-13 18:40:57,175
57,108,/blog,2023-02-26 01:51:35,39
58,21,/about,2023-07-24 06:55:49,119
59,81,/account/orders,2023-10-06 15:02:45,139
60,155,/account,2024-05-14 19:43:49,230
61,200,/faq,2023-06-25 19:16:49,233
62,106,/products/beans,2024-06-04 16:19:58,14
63,33,/checkout,2023-11-07 22:01:57,131
64,191,/cart,2024-04-21 21:19:48,88
65,102,/products/espresso,2023-08-08 16:19:18,35
66,122,/ ,2023-09-25 02:10:16,16
67,198,/faq,2023-01-12 23:21:21,45
68,27,/products/grinders,2023-08-18 22:24:09,46
69,168,/account/orders,2023-01-13 20:58:17,120
70,64,/account/orders,2024-01-23 10:51:10,229
71,161,/products/grinders,2023-05-10 04:53:58,272
72,44,/ ,2023-09-26 13:18:09,185
73,84,/gift-cards,2023-10-24 09:45:26,279
74,70,/products/grinders,2023-04-14 14:29:03,279
75,46,/gift-cards,2023-12-31 13:31:27,291
76,112,/shipping-info,2023-01-14 03:27:57,161
77,89,/shipping-info,2023-05-26 05:46:11,119
78,23,/account/orders,2024-06-18 14:03:21,190
79,106,/products/grinders,2024-06-04 16:32:36,158
80,3,/faq,2023-10-17 19:06:51,72
81,89,/reviews,2023-05-26 05:39:32,276
82,3,/reviews,2023-10-17 19:08:19,247
83,77,/promotions,2023-08-11 02:06:15,152
84,153,/,2024-01-14 04:17:00,283
85,96,/promotions,2024-02-26 20:10:36,290
86,112,/checkout,2023-01-14 03:19:09,86
87,184,/blog,2023-08-27 05:18:52,115
88,68,/promotions,2024-01-27 13:28:25,125
89,133,/account,2023-04-15 09:02:14,148
90,167,/promotions,2024-04-03 17:35:01,99
91,18,/products/grinders,2024-04-28 18:12:25,151
92,29,/gift-cards,2023-08-31 22:00:26,234
93,70,/cart,2023-04-14 14:30:39,167
94,5,/ ,2024-06-22 16:35:03,276
95,6,/products/espresso,2023-10-25 22:06:37,147
96,69,/gift-cards,2023-07-12 19:38:55,7
97,60,/products/grinders,2023-03-25 01:57:29,10
98,127,/about,2024-03-26 23:20:03,218
99,80,/contact,2023-02-18 05:30:34,240
100,179,/ ,2024-05-23 10:04:26,172
101,21,/products/grinders,2023-07-24 08:16:10,31
102,69,/products,2023-07-12 19:57:10,281
103,121,/cart,2024-03-01 06:39:55,131
104,98,/,2024-04-25 06:31:40,65
105,197,/checkout,2024-06-04 04:13:06,200
106,198,/checkout,2023-01-12 23:27:37,20
107,51,/products/espresso,2023-03-21 17:56:03,269
108,171,/reviews,2024-01-10 14:05:48,202
109,175,/about,2024-03-23 11:45:32,84
110,162,/shipping-info,2024-03-13 18:26:56,269
111,32,/reviews,2023-03-14 05:01:34,155
112,51,/ ,2023-03-21 17:49:12,114
113,29,/promotions,2023-08-31 21:33:04,169
114,4,/account,2024-06-09 15:30:09,64
115,102,/checkout,2023-08-08 16:22:14,7
116,11,/products/grinders,2023-01-18 01:34:27,193
117,198,/checkout,2023-01-12 22:39:22,83
118,128,/about,2024-05-24 02:57:14,33
119,16,/products/grinders,2024-06-29 03:58:26,277
120,28,/reviews,2023-05-16 16:57:49,122
121,82,/contact,2024-03-12 11:33:56,227
122,188,/,2023-10-30 05:51:25,196
123,92,/account,2023-05-01 05:48:22,23
124,125,/gift-cards,2024-03-02 08:07:48,289
125,76,/reviews,2024-06-02 05:56:50,100
126,146,/shipping-info,2023-02-18 19:55:23,181
127,83,/gift-cards,2023-07-04 13:56:01,143
128,154,/products/beans,2023-04-18 23:11:16,38
129,136,/gift-cards,2024-02-23 08:39:21,154
130,68,/contact,2024-01-27 14:31:33,235
131,1,/blog,2023-04-11 13:27:10,97
